Id,Exhibit_Group,Exhibit_Name,Exhibit_Popularity,Language,Complexity,Exhibit_Copy
6,Automation Everywhere,Dream Machine,1,Spanish,Standard,"### Sensor

#### 1. Sensores de luz diminutos
Son pequeños sensores que pueden detectar la luz y enviar una señal.

#### 2. Rompedores de rayos
Estos sensores emiten un rayo de luz. Cuando algo se interpone en el camino, como tu lámina de espuma, el sensor envía un mensaje al cerebro informático de la Dream Machine. Este cerebro informático sabe dónde está todo, por lo que también sabe dónde está el objeto.

#### 3. Detectores de metales
Estos sensores funcionan como detectores de metales. Buscan objetos metálicos cerca. Si el objeto está cerca, el sensor envía una señal fuerte. Si está lejos, la señal es débil. Esto ayuda a la máquina a saber si una puerta está abierta o cerrada.

#### 4. Rayos de luz
¿Cómo encuentra la máquina tu pedido? Estos sensores envían un rayo de luz rojo inofensivo. Cuando algo bloquea el rayo, el sensor dice: ""¡Oye, hay algo aquí!"". El cerebro informático sabe dónde está el sensor, por lo que sabe exactamente dónde está el objeto.

#### Sensores de seguridad
Quizás hayas notado las paredes de acrílico que rodean esta exhibición. Están ahí para tu seguridad. Estas máquinas están programadas para hacer su trabajo, pero no saben que estás aquí. No se detendrán hasta que reciban una señal para detenerse. Para mantener a las personas seguras, las fábricas usan sensores en las puertas que pueden detectar si están abiertas o cerradas. Estos sensores usan señales de radio especiales y detectores de metales para indicarle a la máquina si las puertas están abiertas o cerradas. Si las puertas están cerradas, la máquina funciona perfectamente. Si están abiertas, la máquina se detiene."
6,Automation Everywhere,Dream Machine,1,English,Standard,"### Sensor

#### 1. Tiny Light Sensors
These are small sensors that can detect light and send a signal.

#### 2. Beam Breakers
These sensors shine a light beam. When something gets in the way, like your foam sheet, the sensor sends a message to the Dream Machine's computer brain. This computer brain knows where everything is, so it knows where the object is too.

#### 3. Metal Detectors
These sensors work like metal detectors. They check for metal objects nearby. If the object is close, the sensor sends a strong signal. If it's far away, the signal is weak. This helps the machine know if a gate is open or closed.

#### 4. Light Beams
How does the machine find your order? These sensors send out a harmless red light beam. When something blocks the beam, the sensor says, ""Hey, something's here!"" The computer brain knows where the sensor is, so it knows exactly where the object is.

#### Safety Sensors
You might have noticed the acrylic walls around this exhibit. They're here for your safety. These machines are programmed to do their job, but they don't know you're here. They won't stop until they get a signal to stop. To keep people safe, factories use sensors on doors that can detect if they're open or closed. These sensors use special radio signals and metal detectors to tell the machine if the doors are open or closed. If the doors are closed, the machine works just fine. If they're open, the machine stops."
6,Automation Everywhere,Dream Machine,1,English,Technical,"### Sensor

#### 1. 42KD Miniature Photoelectric Sensors
A very tiny version of the Rockwell Automation photoelectric sensor.

#### 2. Rightsight Photoelectric Sensors
These sensors emit a beam of light. When an object like your foam sheet interrupts the beam, the sensor sends a signal to the Programmable Automation Controller or PAC. The PAC is the computer brain of the Dream Machine. It knows where each sensor is, so it knows where the object is.

#### 3. 871P Versacube Inductive Proximity Sensors
Inductive Proximity Sensors work just like a metal detector. They generate an electromagnetic (EM) field to detect metal objects. The EM field induces a second EM field in a nearby metal object. The strength of the second EM field depends on the distance from the sensor to the object being sensed. Here,
Inductive Proximity Sensors indicate if the Infeed Gate is open or closed.
If the EM field is weak, that means the gate is open. If the EM field is strong, the gate is closed.
Inductive proximity sensors are used in food processing and manufacturing, robotic welding, and for packaging/ materials handling.

#### 4. Visisight Sensors Photoelectric Sensors
How does the machine ""know"" where your order is? These sensors emit an eye-safe beam of red light. When something interrupts the beam, the sensor communicates that an object was detected. The ControlLogix Programmable Automation Controller (PAC), the computer brain of the Dream Machine, knows where each sensor is, so it knows where the object is the instant it interrupts the beam. VisiSight Photoelectric Sensors are used in packaging, materials handling, and sortation.

#### Sensaguard RFID
You may have noticed that this exhibit is enclosed with acrylic panels. That's for your safety. These machines are smart, but they don't know you're here. They are programmed to do a specific thing and won't stop until they receive a signal to stop. Safety is incredibly important in factories and on assembly lines. Of course, people need to access these machines to perform troubleshooting and maintenance. That's why there are doors with SensaGuard sensors on them. SensaGuard sensors use a combination of RFID technology (radio signals that read a chip) and inductive proximity sensors (to detect metal) to let the machines know whether the panel doors are open or closed. If closed, everything runs just fine. If open, the machine stops."
6,Automation Everywhere,Dream Machine,1,Spanish,Technical,"### Sensor

#### 1. Sensores fotoeléctricos en miniatura 42KD
Una versión muy pequeña del sensor fotoeléctrico de Rockwell Automation.

#### 2. Sensores fotoeléctricos Rightsight
Estos sensores emiten un haz de luz. Cuando un objeto como su lámina de espuma interrumpe el haz, el sensor envía una señal al controlador de automatización programable o PAC. El PAC es el cerebro informático de la Dream Machine. Sabe dónde está cada sensor, por lo que sabe dónde está el objeto.

#### 3. Sensores de proximidad inductivos Versacube 871P
Los sensores de proximidad inductivos funcionan como un detector de metales. Generan un campo electromagnético (EM) para detectar objetos metálicos. El campo EM induce un segundo campo EM en un objeto metálico cercano. La intensidad del segundo campo EM depende de la distancia desde el sensor hasta el objeto que se detecta. Aquí,
los sensores de proximidad inductivos indican si la compuerta de entrada está abierta o cerrada.
Si el campo electromagnético es débil, significa que la compuerta está abierta. Si el campo electromagnético es fuerte, la compuerta está cerrada.
Los sensores de proximidad inductivos se utilizan en el procesamiento y la fabricación de alimentos, la soldadura robótica y el embalaje/manipulación de materiales.

#### 4. Sensores Visisight Sensores fotoeléctricos
¿Cómo ""sabe"" la máquina dónde está su pedido? Estos sensores emiten un haz de luz roja seguro para la vista. Cuando algo interrumpe el haz, el sensor comunica que se detectó un objeto. El controlador de automatización programable (PAC) ControlLogix, el cerebro informático de la Dream Machine, sabe dónde está cada sensor, por lo que sabe dónde está el objeto en el instante en que interrumpe el haz. Los sensores fotoeléctricos VisiSight se utilizan en el embalaje, la manipulación de materiales y la clasificación.

#### RFID Sensaguard
Es posible que haya notado que esta exhibición está encerrada con paneles acrílicos. Eso es para su seguridad. Estas máquinas son inteligentes, pero no saben que usted está aquí. Están programadas para hacer algo específico y no se detendrán hasta que reciban una señal para detenerse. La seguridad es muy importante en las fábricas y en las líneas de montaje. Por supuesto, las personas necesitan acceder a estas máquinas para solucionar problemas y realizar tareas de mantenimiento. Por eso hay puertas con sensores SensaGuard. Los sensores SensaGuard utilizan una combinación de tecnología RFID (señales de radio que leen un chip) y sensores de proximidad inductivos (para detectar metales) para que las máquinas sepan si las puertas del panel están abiertas o cerradas. Si están cerradas, todo funciona bien. Si están abiertas, la máquina se detiene."
6,Automation Everywhere,Dream Machine,1,Hmong,Technical,"### Sensor

#### 1. 42KD Miniature Photoelectric Sensors
Ib qho me me version ntawm Rockwell Automation photoelectric sensor.

#### 2. Txoj Cai Photoelectric Sensors
Cov sensors emit ib lub teeb ntawm lub teeb. Thaum ib yam khoom zoo li koj daim ntawv ua npuas ncauj cuam tshuam cov nqaj, lub sensor xa cov teeb liab mus rau Programmable Automation Controller lossis PAC. Lub PAC yog lub hlwb hauv computer ntawm Dream Machine. Nws paub tias txhua lub sensor nyob qhov twg, yog li nws paub qhov khoom nyob qhov twg.

#### 3. 871P Versacube Inductive Proximity Sensors
Inductive Proximity Sensors ua haujlwm ib yam li lub ntsuas hlau. Lawv tsim ib qho chaw electromagnetic (EM) los kuaj xyuas cov khoom hlau. EM teb induces EM teb thib ob hauv ib qho khoom hlau ze. Lub zog ntawm qhov thib ob EM teb nyob ntawm qhov kev ncua deb ntawm lub sensor mus rau qhov khoom tau hnov. Ntawm no,
Inductive Proximity Sensors qhia yog tias Infeed Gate qhib lossis kaw.
Yog tias EM teb tsis muaj zog, qhov ntawd txhais tau hais tias lub rooj vag qhib. Yog tias EM teb muaj zog, lub rooj vag kaw.
Inductive sib thooj sensors yog siv rau hauv kev ua zaub mov thiab kev tsim khoom, kev sib txuas neeg hlau, thiab kev ntim khoom / cov khoom tuav.

#### 4. Visisight Sensors Photoelectric Sensors
Lub tshuab ""paub"" koj qhov kev txiav txim nyob qhov twg? Cov sensors emit lub teeb pom kev nyab xeeb ntawm lub teeb liab. Thaum ib yam dab tsi cuam tshuam lub nqaj, lub sensor sib txuas lus tias ib qho khoom raug kuaj pom. ControlLogix Programmable Automation Controller (PAC), lub computer hlwb ntawm Dream Machine, paub qhov twg txhua lub sensor yog, yog li nws paub qhov twg cov khoom yog qhov instant nws cuam tshuam lub beam. VisiSight Photoelectric Sensors yog siv rau hauv ntim, tuav cov ntaub ntawv, thiab kev sib cais.

#### Sensaguard RFID
Tej zaum koj yuav tau pom tias qhov khoom pov thawj no tau ntim nrog acrylic panels. Qhov ntawd yog rau koj txoj kev nyab xeeb. Cov tshuab no ntse, tab sis lawv tsis paub tias koj nyob ntawm no. Lawv tau programmed los ua ib yam dab tsi thiab yuav tsis nres kom txog thaum lawv tau txais lub teeb liab kom nres. Kev nyab xeeb yog qhov tseem ceeb heev hauv cov chaw tsim khoom thiab ntawm cov kab sib dhos. Tau kawg, tib neeg yuav tsum tau nkag mus rau cov tshuab no los daws teeb meem thiab kho. Yog vim li cas thiaj muaj qhov rooj nrog SensaGuard sensors rau lawv. SensaGuard sensors siv kev sib xyaw ua ke ntawm RFID thev naus laus zis (xov tooj cua teeb liab uas nyeem ib nti) thiab inductive ze ze sensors (kom ntes hlau) kom cov tshuab paub seb lub vaj huam sib luag qhov rooj qhib lossis kaw. Yog tias kaw, txhua yam ua haujlwm zoo. Yog qhib, lub tshuab nres."
7,Automation Everywhere,Dream Machine: Control Cabinet,3,Spanish,Standard,"### Gabinete de control
Este gabinete es el cerebro de la Dream Machine. Ayuda a controlar todas las máquinas y sensores que trabajan juntos para hacer que la Dream Machine funcione.

### Motores precisos
La Dream Machine utiliza motores especiales llamados servos que pueden controlarse con mucha precisión. Pueden moverse a posiciones y velocidades exactas. El cerebro de la Dream Machine envía señales a estos motores, diciéndoles qué hacer.

### Sensores y controles
La Dream Machine tiene muchos sensores que observan lo que está sucediendo y envían información al cerebro. Luego, el cerebro decide qué debe suceder a continuación.

### Control conectado
La Dream Machine utiliza una red especial que permite que todas las partes se comuniquen entre sí. Esto hace que sea más fácil controlar todo el sistema y hace que sea más económico instalarlo y repararlo. Incluso permite que las personas controlen la Dream Machine desde lejos."
7,Automation Everywhere,Dream Machine: Control Cabinet,3,Hmong,Standard,"### Tswj txee
Lub txee no yog lub hlwb ntawm Npau Suav Tshuab. Nws pab tswj tag nrho cov cav tov thiab sensors uas ua hauj lwm ua ke kom lub Dream Machine khiav.

### Precise Motors
Lub Tshuab Npau Suav siv cov motors tshwj xeeb hu ua servos uas tuaj yeem tswj tau qhov tseeb. Lawv tuaj yeem txav mus rau qhov chaw thiab nrawm. Lub paj hlwb ntawm Dream Machine xa cov cim rau cov motors, qhia lawv yuav ua li cas.

### Sensors thiab Tswj
Npau suav tshuab muaj ntau lub sensors uas saib dab tsi tshwm sim thiab xa cov ntaub ntawv mus rau lub hlwb. Lub hlwb mam li txiav txim siab seb yuav tsum muaj dab tsi tshwm sim tom ntej.

### Txuas Kev Tswj
Lub Tshuab Npau Suav siv lub network tshwj xeeb uas cia txhua qhov chaw sib tham. Qhov no ua rau nws yooj yim dua los tswj tag nrho cov system thiab ua rau nws pheej yig dua los teeb tsa thiab kho. Nws txawm tso cai rau tib neeg tswj lub Npau Suav Machine los ntawm qhov deb."
7,Automation Everywhere,Dream Machine: Control Cabinet,3,English,Standard,"### Control Cabinet
This cabinet is the brain of the Dream Machine. It helps control all the machines and sensors that work together to make the Dream Machine run.

### Precise Motors
The Dream Machine uses special motors called servos that can be controlled very precisely. They can move to exact positions and speeds. The brain of the Dream Machine sends signals to these motors, telling them what to do.

### Sensors and Controls
The Dream Machine has many sensors that watch what's happening and send information to the brain. The brain then decides what needs to happen next.

### Connected Control
The Dream Machine uses a special network that lets all the parts talk to each other. This makes it easier to control the whole system and makes it cheaper to set up and fix. It even lets people control the Dream Machine from far away."
7,Automation Everywhere,Dream Machine: Control Cabinet,3,English,Technical,"### Control Cabinet
This cabinet houses the electronic brain of the Dream Machine. All the sensors, the AC motors, the laser cutters, and everything else are controlled by the ControlLogix Programmable Automation Controller or PAC.

### Kinetix Servo Drives
Servos are a very precise and accurate electric motor. You can control their position, how fast they move, and how quickly they accelerate. Servo motors are controlled by servo drives. The Programmable Automation Controller or PAC (the computer brain of the Dream Machine) sends control signals to the Kinetix Servo Drives. The drives amplify these signals and send them to the servos. Here in the Dream Machine, Kinetix Servo Drives provide the motion control for the servo motors that move the laser cutters.

### Armorblock I/O
The Rockwell Automation ArmorBlock I/O gathers information from the sensors and sends it to the Programmable Automation Controller (the computer brain), which determines what needs to be done.

### Ethernet Control
One feature of Rockwell Automation systems is the Ethernet network, which allows all the systems to process information and communicate over a single network. Ethernet control gives operators a lot more control over the entire system. It also saves money on wiring and troubleshooting. And you can monitor and operate your factory from anywhere in the world."
7,Automation Everywhere,Dream Machine: Control Cabinet,3,Hmong,Technical,"### Tswj txee
Lub txee no muaj lub hlwb hluav taws xob ntawm Dream Machine. Tag nrho cov sensors, AC motors, laser cutters, thiab txhua yam yog tswj los ntawm ControlLogix Programmable Automation Controller los yog PAC.

### Kinetix Servo Tsav
Servos yog lub tshuab hluav taws xob zoo heev thiab raug. Koj tuaj yeem tswj lawv txoj haujlwm, lawv txav nrawm npaum li cas, thiab lawv nrawm npaum li cas. Servo motors yog tswj los ntawm servo drives. Lub Programmable Automation Controller lossis PAC (lub computer hlwb ntawm Dream Machine) xa cov teeb liab tswj mus rau Kinetix Servo Drives. Cov drives ua kom cov teeb liab no thiab xa mus rau servos. Ntawm no hauv Npau suav Machine, Kinetix Servo Drives muab cov lus tsa suab tswj rau cov servo motors uas txav cov laser cutters.

### Armorblock I/O
Lub Rockwell Automation ArmorBlock I/O sau cov ntaub ntawv los ntawm cov sensors thiab xa mus rau Programmable Automation Controller (lub computer hlwb), uas txiav txim siab seb yuav tsum ua dab tsi.

### Ethernet Tswj
Ib qho tshwj xeeb ntawm Rockwell Automation systems yog Ethernet network, uas tso cai rau txhua lub tshuab ua cov ntaub ntawv thiab sib txuas lus hauv ib lub network. Ethernet tswj muab cov neeg ua haujlwm tswj hwm ntau dua rau tag nrho cov kab ke. Nws tseem txuag nyiaj ntawm kev xaim thiab kev daws teeb meem. Thiab koj tuaj yeem saib xyuas thiab ua haujlwm ntawm koj lub Hoobkas los ntawm txhua qhov chaw hauv ntiaj teb."
