Exhibit Group,Exhibit Name,Exhibit Popularity,Exhibit Copy
Automation Everywhere,Sensor Challenge,2,"Can You Beat The Machine?
Take the Sensor Challenge!
1. Press the Start Button
2. Choose a Speed Slow, Medium, or Fast
3. Press Go
4. Sort!"
Automation Everywhere,Tic-Tac-Toe,3,IGNORE
Big,Build It!,0,"Build It!
Make the biggest machines.
Build It!
Build machines that move the Earth. It takes highly-skilled machinists, welders, and technicians to put it all together.
Casting
Metal is poured into giant molds to form the pieces of these massive earth movers. Casting allows Bucyrus to be innovative and save time and materials without sacrificing strength or quality.
Machining
The enormous pieces are then milled, ground, and cut with mind-boggling precision. Bucyrus Machining Equipment is some of the biggest and most precise in the world.
Welding
The process of fusing two or more pieces of metal together to form something new. It involves lots of current, high heat, and incredible amounts of precision and skill.
Big Machines Need Big Welds
The biggest machines need to be incredibly strong to move millions of tons of rock and minerals. Welding provides the strength that bolts and rivets cannot. To keep the bucket, boom, and crawlers from failing and breaking, every piece is welded together."
Big,Can You Dig It?,0,"Can you dig it?
The Earth is the source of all the materials we use to make modern life possible. It's just a matter of finding them.
The Earth is…
Magma, a molten soup of liquid rock and elements, lurks deep in the Earth. Sometimes it migrates towards the surface. As magma cools, elements combine to form minerals. We mine these minerals from the Earth."
Big,Design It!,0,"Design It!
Blueprints. Models. Experimentation.
Design It!
Create machines bigger than the imagination. It takes a team of determined, innovative engineers to design one of these big machines. How would you design a machine that can move the Earth?
Scale. How Big is It?
Imagine a tire as big as a house. Imagine a shovel that you can use as a garage. Imagine a machine so big you could play football inside it. 
Engineers Create Machines Bigger than the Imagination
Geologists find resources. Engineers figure out how to extract them from the Earth. Then they design machines that get the job done.
Blueprints
Technical, precise drawings of engineering projects.
Models
Scale models and 3-D Computer Models allow engineers to explore new design possibilities.
Innovation
As resources become more difficult to extract, new machines must be designed to work in more challenging conditions.
Big Machines Need Big Innovation.
Every job is different. And each machine is so big that it must be assembled and tested at the job site. How would you design new ways to extract resources and new machines to move the Earth?"
Big,Dig It!,0,"Dig It!
Extract Resources.
Dig It!
?ow deep is deep? Dig into the Earth and what do you see? Dirt. Rocks. Roots. Worms. You've barely scratched the surface.
The Deepest
Our Furthest Reaches Are Only A Dent
Deepest ???n ??t ??n?. Bingham Canyon Mine, Utah (copper), 2.75 miles wide, 0.75 miles deep. If the Bingham Canyon Mine was a stadium, it would seat over 9 million people.
Deepest Hard Rock Mine. TauTona and Savuka Mines, South Africa (gold) 12,800 ft (2.42 miles) deep
Kola Superdeep Borehole. Deepest Drilled Hole. Kola, Russia. 40,230 ft (7.5 miles) deep
2 Types of Mines: Surface Mines
Cat machines are used to clear away surface dirt and rock (overburden) in order to expose metal ore, coal, and minerals.
Open Pit. Wide, deep circular pits that sometimes look like massive stadiums. A quarry is a familiar type of open pit mine.
Mountain Top Removal. Clearing away the top of mountains to get to the resources underneath, usually coal. 
Strip Mining. Layers of dirt and rock are removed to expose the valuable minerals underneath.
2 Mines: Underground Mines
In underground mining, Cat machines are used to carve tunnels into the Earth. "
Big,Excavator,0,"Walking Dragline Excavator
These beasts walk the Earth, clearing away millions and millions of tons of rock. They never sleep. They never stop."
Big,Fern Fossil in Shale,0,"Fern Fossils in Shale
Shale is a sedimentary rock that forms as silt and mud sink to the bottom of marshes, river deltas, and lakes. Time and pressure turn the mud into rock. Shale often forms the ""cap"" or roof of a coal seam. Black shale contains a lot of carbon, and forms when there is little or no oxygen in the mud. Organisms die and sink to the bottom. Layers of mud slowly settle on them. Time and pressure turn them fossils. These fern fossils are from the Pottsville Formation in the coal region of the Appalachian Mountains in Pennsylvania. They date back to the middle of the Pennsylvanian age (about 350-290 million years ago)."
Big,Power Plants,0,"‘Power Plants’
Coal Deposits - The Remains of Earth’s Ancient Fossils
Coal is… Carbon, Hydrogen, Oxygen, Sulfur
How Coal is Made
The Sun Lights and Heats the Earth. Plants Transform Solar Energy into Growth. When Plants Die, They Form Peat. Time, Pressure, and Heat Turn Plants into Coal. The Peat is Compressed in Sediment Layers to Form Lignite. Further Compression Forms Bituminous and Subbituminous Coal. The Older the Coal, the More Energy it Holds. Eventually, Anthracite Forms. We Turn Coal into Civilization. 
Stored Solar Energy
Each kilogram of coal contains 6.67 kW-h (kilowatt-hours) of energy. A kilogram of coal could power a 60-watt light bulb for 167 hours*.
*assuming a 100% efficiency rate; realistically a kilogram of coal would power a 60-watt lightbulb for about 50 hours."
Big,Welds,0,"Welds
Big Welds Need Big Skill
Welding these big machines together is an art and a science. The welds must be straight, sound, and strong. Certified welders work with metal compositions (the filler material to fuse the thick, heavy pieces together. See the bevels, or angled grooves, on the joints? These allow welders to completely fill the joint area between the materials and to get a 100% sound weld. The welder makes the first pass, carefully guiding the molten metal into the joint. Plate thickness and the stress and strain to be put on the part determine if more welds are needed. The welds are actually stronger than the metal that the welder has fused together. After the welds cool, they are X-rayed for quality acceptance.
Tig Welding. Stick Welding. Mig Welding. Gas Welding. 
Did You Know?
The world's first industrial robot was made to spot weld. It was an industrial motorized arm weighing a staggering two tons.
Welding Helmet
The dark-tinted lens shade and helmet protect the welder from flash burns and “arc eye,” a painful eye _____ caused by the UV rays given off during welding.
Welding Gloves
Welders choose their gloves according to which technique they're using. Gloves are made from different kinds of animal hides and provide various levels of finger dexterity. They protect the welder from flames and electric shock.
Work Boots
Steel toe protects the welder from dropped equipment.
Welding Sleeves
Provides light protection against the flames and sparks while keeping the welder cool.
Welding Jacket
Protects the welder from heat, UV radiation, spatter, and sparks. 
Work Pants
Many welders prefer 100% cotton pants, like jeans, because they’re flame resistant and breathable. 
Welding Apron
Thick leather protects the welder from slag, flying sparks, and metal spatter.
Sparks Fly!
Welding produces very bright light, sparks, and extreme heat. Welders use several types of personal protective equipment (PPE) to stay safe. A welding helmet and safety glasses protect your eyes from sparks and UV radiation. Welding helmets have a dark lens to filter out bright light and to allow you to see the weld clearly. Welding gloves and a welding jacket protect your hands and body from heat, sparks, and slag. Slag is a by-product formed by the impurities in a metal that come out when heating metal to really high temperatures. The gloves are made of durable leather or Kevlar, and the jacket is made of a durable, flame-resistant material like cotton or wool.
Did You Know?
More than 50% of all human-made products require welding."
Block Party,Block Party,1,IGNORE
Drive Sim,Drive Sim,1,"Turning
Racecars are designed to handle the effects of friction, gravity, and air resistance.
Gaining Speed
Aerodynamics is how easily air slips over the car. Traction is the grip that tires have on the ground, transferring engine power into forward motion and keeping the car on the racetrack.
Special Maneuvers
When an object is moving in a circle, centripetal force pulls it towards the center, while centrifugal force pulls it away.
Crashing
Modern racecars are designed to protect the driver using impact-absorbing materials, high-tech multi-point seatbelts, and breakaway pieces."
Innovation Station,Battery Video,5,"Lithium-Ion Batteries
Light. Energy Dense. No ""Memory"". Lithium-ion batteries charge quickly and drain slowly making them ideal for tablets, smartphones, and electric vehicles."
Innovation Station,"Dampers, Valves, & Actuators",5,"Dampers, Valves, & Actuators
A damper is a plate that pivots open to allow warm or cool air into a room. It closes when the roam becomes too warm or too cool. Dampers are controlled by thermostats and moved by actuators. An actuator is a device that turns the energy of compressed air into a linear motion. They are connected to dampers by a series of linkages.
Johnson's Pneumatic System
When the thermostat reaches a set temperature, it sends a signal to an electropneumatic valve to turn the air pressure either on or off.
Air Pressure ON
A rubber diaphragm on the actuator inflates, which pushes on the linkages and opens the damper.
Air Pressure OFF
The rubber diaphragm deflates, the linkages relax, and the damper closes."
Innovation Station,Metasys,5,"Metasys
One Brain to Rule them All
Human beings are pretty complicated. We have lots of systems. Circulatory, nervous, muscular, skeletal, digestive, respiratory, immune, and a few others. Each system depends on the others, and your body needs them all to work well in order for you to work well. Imagine if each of your systems had its own ""brain"" and those ""brains"" couldn't communicate with each other.
That would be a problem. Fortunately, all your systems are run by one complex, beautiful brain. Buildings are complicated, too, and they rely on many different systems. Heating, ventilation and air-conditioning (HVAC) systems, lighting, security, fire protection. These systems have different controls and are made by different companies. Until recently, this meant lots of different ""brains"" that couldn't really interact. Metasys® is a complex, beautiful brain for buildings. Metasys® allows you to control all of a building's systems. It works with older systems and even systems from other manufacturers. It works online. It works on tablets and smartphones. Warren Johnson built a system that allowed you to control your environment. That was revolutionary back in the 19th Century. Today you trust Johnson Controls to deliver heating and cooling, giving you piece of mind. Today you rely on Johnson Controls to ensure your place of work or school is safe, secure, and comfortable environment. "
Innovation Station,Mini Wimshurst,4,"Wimshurst Static Machine
While Johnson was experimenting with compressed air, other innovators were exploring the possibilities of electricity.
A Shock, a Spark
The Wimshurst Machine consists of two insulated discs that rotate in opposite directions. The discs separate positive and negative charges, which are collected by metal combs and stored in Leyden Jars (capacitors). As the Wimshurst Machine rotates, the charges build and build until there is enough voltage for an electric spark to jump across the gap. Press the button. Wait 20 seconds to try again."
Innovation Station,Pneumatic Dinosaur,2,"Pneumatic Dinosaur
Once upon a time, in a land before time, pneumatic dinosaurs roamed the land. As these giants strode upon the earth and swam in the primordial seas, levers forced compressed air into their mighty pistons transforming this force into movement. These gigantic creatures are gone (except for this one, the last of its kind), but their inspiration remains in pneumatic drills and bicycle pumps, HVAC control systems, giant pneumatic clocks, compressed air vehicles, pipe organs, exercise equipment, and anywhere else humans turn compressed air into work. 
Move the Levers. Control the Mighty Beast. Behold the Power of Compressed Air."
Innovation Station,Robotic Bug,4,"Robotic Bug
This robotic bug uses servos to mimic the walking motion of our six-legged, exoskeletoned friends."
Innovation Station,Servo Hand,4,"Artificial Hand
This artificial hand uses servos to mimic the intricate articulations of the human hand. Servos provide lightweight power & control. Each part of this hand was made here at Discovery World on a 3-D printer."
Innovation Station,Spark Gap Telegraph,3,"Wireless Telegraph
In the late 1800s, the telegraph was the only way to send an instant message to someone. The telegraph transformed the world and made communication much easier across distances. The problem was wires. You can't run wires from the shore to a ship, and ships were incredibly important to the global economy. People needed instant communication everywhere, and they needed to get rid of the wires. Warren Johnson's initial transmitter set-up consisted of a battery, a capacitor, an induction coil, and a spark gap. When you complete the circuit, the induction coil transforms low-voltage electricity from the battery into a high-voltage impulse, which jumps across the gap. This generates a pulse of radio waves that flies off in every direction. A coherer (radio-wave receiver) located somewhere else picks up this pulse of radio waves as a burst of static. A short burst of static became a Morse Code dot. A longer burst became a dash. Eventually, Johnson and his engineer Charles Fortier demonstrated their wireless telegraph system at the 1900 Paris Exposition with luminaries like Nikola Tesla, Guglielmo Marconi, and Thomas Edison."
Innovation Station,Telegraph with Key,3,"Morse Code
It's 1836. Your name is Samuel Morse. You're a portrait painter and inventor originally from Charlestown, Massachusetts. Your job is to figure out a way to send instant messages across the country. You have a transmitter that allows you to send electrical impulses. You have a receiver that receives electrical impulses. You have electricity. You have wire. What do you do?
I Could Create a Code!
You could create a code. Each letter might be combination of short and long bursts of electricity. Dots and dashes (and empty space). Tiny bits of empty space between letters. Longer bits of empty space between words. You want your code to be as efficient as possible, so you assign the shortest series of dots and dashes to the letters we use most frequently. 'E' would be a single dot. 'T' would be a dash. ‘I' would be two dots. 'M' would be two dashes. And so on. Congratulations. You've invented Morse Code."
Innovation Station,Thermostat,5,"Origin of the Thermostat
Let's go back in time. 130 years should do it. Nice time machine, by the way. It's the late 1800s in Whitewater, Wisconsin. You're a professor. Your classroom is freezing. Your students are shivering in their coats and sweaters. Suddenly, a janitor opens the door and pops his head in, disrupting your class. He takes a look at the thermometer on the wall and pops out. The janitor runs down to the basement and turns on the boiler. Hot air starts surging through the vents. Your students start tearing off their coats and sweaters in an attempt to get comfortable. Now they're disrupting the class. Your classroom is never comfortable. Interruptions plague your lecture. How are you supposed to teach? How are your students supposed to learn? You get frustrated. If you're Warren Johnson, you turn that frustration into a brand new innovation called the thermostat."
Les Paul's House of Sound,Ding Dong,5,"Ding Dong
Nicknamed, ""The Ding Dong"", Les built it to test the magnetic quality of strings, which strings produced the most voltage, and what sound quality he could expect from plucking strings high versus low, etc. He quickly realized the benefit of this method. While other record producers and recording artists relied on electronic mixers to balance and engineer the sound, he was engaged in sound manipulation on the most basic levels. Les reveled in the subtleties."
Les Paul's House of Sound,Gibson Les Paul,4,"Gibson Les Paul
History Of The Solid Body Guitar
Like Nothing That Had Come Before...
Ever since the days of Rhubarb Red, Les had bought and played Gibson guitars. His very first was a Gibson L-50 arch top, acquired with the help of Sunny Joe Wolverton. Then came the L-5s and that fateful trip to the Gibson factory in Kalamazoo. From that moment on, Les was hooked! So, when he began experimenting in earnest with his solid-body sound, Les took his tinkerings to Gibson. At that time, Gibson wasn't convinced a solid-body with superior tone and resonance could be successfully built. Almost a decade later, the tables would turn. Gibson approached Les Paul in 1951 about collaborating on a design for a solid-body guitar. Fender had introduced a version, and Gibson was ready to see a future for solid-body sound. Taking Les's ""Log"" concept to the next stage, Gibson and Les modeled their solid-body into a whole sound instrument. That meant integrating each individual section until it resonated as a single piece of supremely refined tone wood. More than anything else, this set their solid body apart as an electric guitar that became, and remains, the industry standard for quality, design and playability. Today, Gibson continues to follow the same labor intensive, handmade process that assures each Gibson Les Paul model is a work of playable art."
Les Paul's House of Sound,Guitar Pickups,4,"Typical “Humbucking” Guitar Pickup
Humbucking pickups are two single coil pickups wired together, each at an opposing polarity. The differing magnetic polarities cancel each other out, allowing the electrical output to come through without the ambient hum that occurs with single coil pickups. Another unintended consequence of the humbucker is that the sound created is heavier and more complex than that from a single coil pickup. Many electric guitars have multiple pickups in varying locations. Each pickup detects different frequencies with greater or less success. These characteristics allow each pickup its own best sound.
Standard “Single Coil” Guitar Pickup
Together, coils and magnets turn motion into electrical energy. In this case, the vibrations are turned into electrical energy and passed along as a vibrating current in the coil. The number of coils around the magnet, the diameter of the wire, and the position of each coil on the body of the guitar all provide variation in the sound produced. The pickup's coil sends the signal through a simple circuit that includes a pass through two resistors, one that regulates tone and another that controls amplification.
Standard “Single Coil” Guitar Pickup with Screw used as magnets
There are different types of pickups. Some are adjustable, others are not, but the rule is, the closer the magnet is to the string, the stronger the signal. In an adjustable pickup, a screw sits between the pole pieces that can be raised and lowered to achieve the desired signal strength."
Les Paul's House of Sound,Hometown Tour,3,"Take The Tour
Join Sue Baker, The Program Director at the Les Paul Foundation on a tour of Les Paul's Home Town, Waukesha, WI. See where Les lived, learned, performed and invented."
Les Paul's House of Sound,How Many Discs?,3,"How Many Discs Does it Take to Create a New Sound?
Five hundred, give or take a tew. Computers have made it easy to record multiple tracks, overdub, and add effects. But the combination of these effects had never been done before Les Paul released ""Lover"" in 1948. He called his effects ""The New Sound."" It was a huge hit.
It was a complicated process. If he didn't like a particular take, he couldn't record over it. He had to start over with another disc."
Les Paul's House of Sound,Les & Leo,5,"Les & Leo
Gibson vs. Fender is one of music history's most iconic rivalries, yet Leo Fender and Les Paul shared a surprising friendship. Leo, a passionate electronics tinkerer who didn’t actually play guitar, started with a radio repair studio where he made his name selling musical equipment like public address systems, amplifiers, and Hawaiian guitars. He would often visit Les Paul's garage studio in L.A. where they discussed electronics and solid-body electric guitars. Leo created his first electric guitar prototype based off these visits and offered it to Les, inviting him to join Fender, but Les chose to stay with Gibson. The Telecaster, available in 1951, was the world’s first mass-produced and commercially successful solid-body electric guitar. Initially mocked for resembling a boat paddle, musicians soon discovered that Fender had provided them with a great-sounding, easily playable, and affordable instrument. It quickly became one of the most influential sounds of the 20th century, shaping the evolution of Rock 'n' Roll, R&B, and Country music. Seeing the success of Fender's Telecaster, Gibson got back in contact with Les Paul to create their own electric guitar. Les, who had figured out much of the invention in the decade earlier, said, “Fender was out first but I was way, way, way out front,” allowing for the quick release of the Gibson Les Paul in 1952. Les acknowledged Leo Fender's impact, stating, ""Leo did me a favor. I couldn't move Gibson with an atomic bomb. It took Leo Fender to wake Gibson up."" This rivalry spurred innovation, shaping their distinct guitar sounds."
Les Paul's House of Sound,Les' First Invention,5,"Les' First Invention
Flip-able harmonica holder
Harmonica holders were available in the 1920s, but they held the harmonica in one position. When he was around 13 years old, Les was playing his guitar and harmonica in public. He wanted to be able to play both sides of his harmonica in order to change keys without putting his guitar down, so he invented a flip-able harmonica holder from metal coat hangers and a piece of wood. His design has evolved into a readily available product."
Les Paul's House of Sound,Meeting Mary Ford,5,"Meeting Mary Ford
Iris Colleen Summers was Mary Ford's birth name. She was one of seven musical siblings whose father was a revival preacher. In 1944, Colleen was backing country singers as part of the Sunshine Girls trio. At the same time, Les Paul was living in Hollywood and looking for a female singer for his country music radio show. A friend suggested he listen to the Sunshine Girls. Les was impressed and called Colleen to audition. Colleen's friends knew she was a huge Les Paul fan. Surely one of her friends was pulling a prank. But she agreed to the audition. When the evening for the audition came, Les forgot about the meeting. He was mowing his lawn in a checkered shirt, baggy army pants and his old army boots. He hadn't even shaved. Colleen pulled up, ""Can you tell me where the Les Paul studios are?"" She followed Les' directions to the garage recording studio. The only way in was to climb through a window. Quite a bit later when Les crawled through the window, Colleen exclaimed, ""That's not Les Paul! That's the gardener!"" As she scrambled for the exit, Les picked up his guitar and let go with a fast run. Colleen stopped, ""Oh my, you are Les Paul."" For the radio show Colleen was ""Mary Lou."" Later, while the two were in Wisconsin, Les decided Colleen needed a new stage name. He picked up a Milwaukee phone book. They settled on ""Mary Ford."""
Les Paul's House of Sound,Persistence,5,"Persistence
Focusing on the Future
When Les was 32, he and Mary Skidded off an icy bridge and down a ravine. Mary wasn’t badly hurt, but Les was a mess of broken bones. One doctor advised amputating Les’ shattered right arm, but Dr. Robert Knight - a fan - saved it. The best option was the fix the arm in place. Les had the surgeon set it so he’d still be able to play. During recovery, Les focused on his future. “The doctors said there was potential nerve damage, that I shouldn’t count on regaining full use of the hand, but I wasn’t buying it. I was determined it was going to come back and that I would play again.”
Meeting Bing
Bing Crosby’s weekly NBC radio show was the top show in America, and a 29-year-old Les Paul wanted to be on it. He didn’t know Bing, but left New York determined to meet him in Hollywood. After becoming a staff musician at NBC, Les noticed Bing’s habit of going into a tiny room for a few minutes of quiet before the show. One day, Les had his trio in that room rehearsing a hot number when Bing walked in. Bing hired all of them on the spot. “Being associated with Bing was a major step up.”
Persuading Gibson
As a young man of 26, Les went to Gibson with his solid body electric guitar, nicknamed ""the Log."" Despite its sweet tone and lack of feedback, Gibson turned it down, calling it a ""broomstick with pickups on it."" Les spent the next 10 years trying to convince Gibson to build a solid body electric guitar. Les' friend Leo Fender developed a solid body electric and gave Les a prototype. Les took the Fender Telecaster to Gibson, along with ""the Log."" ""I believe the solid body guitar is going to be very important, and if you don't do something, Fender is going to rule the world."" Les finally persuaded Gibson to design what became one of the most famous guitars in the world, the Les Paul Standard."
Les Paul's House of Sound,Rail Guitar,4,"Rail Guitar
""This was the direction I was craving to go. I didn't know it yet, but I was on my way to the solid body electric guitar."" Les Paul began experimenting with electrifying his guitar when he was in his early teens. He connected a radio as an amplifier to his acoustic guitar, but he wanted to hear just the strings vibrate and he wanted the strings to vibrate longer. ""Using a short length of steel railroad rail and two railroad spikes, I invented a device that could give me a consistent reference point for my experiments. I took a guitar string and fastened it at each end of the steel rail, using the spikes like a bridge and nut to raise the string so it could be plucked. Then I took a telephone microphone, wired it into Mom's radio for amplification, and placed it on the rail under the string. I soon figured out that the tremendous solidity of the rail allowed the string's vibration to sustain for a longer time, and there was no feedback."" -Excerpted from Les Paul: In His Own Words"
Les Paul's House of Sound,Reactable,1,IGNORE
Les Paul's House of Sound,Recording Lathe,5,"Les' Recording Lathe
This little recording lathe was the very beginning of multi-track recording. Les built the thing so that the Les Paul Trio (Jimmy Atkins, Ernie Newton, Les Paul) could record themselves, listen, and get better. Les called the lathe ""barbaric"", but we think he was being a little hard on himself. Ingenious is a much better word. One day when Jimmy and Ernie weren't around, Les wanted to record something on his own. He added a second playback arm so that he could record the rhythm guitar section (Jimmy usually played rhythm guitar) on one side of the groove. Then he would play the bass line (Ernie was the bass player) and record that on the other side of the groove. Finally Les would play his part along with the first two recordings, capturing it all on one disc. Sound on Sound was born."
Les Paul's House of Sound,Recording Wizard,5,"1. Multitrack Recordings on Discs
In his early 30s, Les used a disc recorder in a brand-new way to make multiple-track recordings using flat discs that most people called ""records."" How did he do it? 1. Record the first guitar part on disc #1. 2. Play disc #1 while recording another guitar part with it onto disc #2. 3. Play two-layer disc #2 while recording a third part with it onto disc #3. 4. Repeat until done! Les released ""Lover,"" his first song using this technique, in 1948.
2. The Evolution of Multiple Track Recording
Today, computers make it easy to record multiple tracks, overdub and add effects. But Les had to figure out how to do it himself, inventing recording techniques so he'd sound different from all other electric guitar players. Les Paul's ideas and techniques influenced other innovators, just as Les had been inspired during his career.
3. Overdubbing Tracks on Magnetic Tape
When Les was 33, Bing Crosby gave him one of the first Ampex tape recorders. Les added an extra playback head and achieved the same multi-track effect on tape that he had created on discs. But adding a new track erased the previous recording. A mistake meant starting from scratch.
Recording Multiple Tracks While Preserving the Originals
""My invention was to stack the heads one on top of the other so they were all aligned in the same place, and you could use the same multiple head for recording and playback.... I turned to my friends in San Francisco, Ampex, and they.. agreed to build the thing for me. It didn't really become functional until 1957, when we finally redesigned it ourselves to get it right.” With the eight-track recorder, Les could record and mix tracks while preserving each original track separately. It was easy to make changes without starting over and with no loss of audio quality. This type of tape recording remained state-of-the-art until the advent of high-quality digital recording in the late 1990s."
Les Paul's House of Sound,Seeing Sound,2,"Seeing Sound
How would you measure the speed of sound?
In 1886, August Kundt generated a single frequency of sound - a pure tone inside a tube. Dust inside the tube began to vibrate and dance, forming the outline of the soundwave. Kundt then figured out that the distance between the dancing piles of dust is the wavelength of the sound wave. Since he knew the frequency of the sound wave, he could multiply that number by the wavelength and find the speed of sound in air. "
